"date(UTC+0)","coin","amount","tag","comment"
"2026-02-27 16:00:02","USDT","0.016538510870336","FundingFee","FOGO_USDT_PERP"
"2026-02-27 16:00:02","USDT","-5.524633298567362392","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 17:00:01","USDT","-8.72159086144976","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 18:00:01","USDT","-8.87211141669041","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 19:00:01","USDT","-8.982877947572408","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 20:00:01","USDT","-9.010554756404605","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 20:00:01","USDT","0.144524803779","FundingFee","STBL_USDT_PERP"
"2026-02-27 21:00:01","USDT","-9.651604467296966","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 22:00:01","USDT","-9.5633521821991","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 23:00:01","USDT","-9.991931036547376","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 00:00:02","USDT","0.16168631434165098","FundingFee","STBL_USDT_PERP"
"2026-02-28 00:00:02","USDT","-0.1734039065785104","FundingFee","USTC_USDT_PERP"
"2026-02-28 00:00:03","USDT","-8.02326137388715498","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 01:00:01","USDT","-10.986013796992244","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 02:00:01","USDT","-7.13305705433999264","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 03:00:01","USDT","-12.35680587378536","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 04:00:01","USDT","-0.0879169312962598323","FundingFee","USTC_USDT_PERP"
"2026-02-28 04:00:01","USDT","0.15044691034453437","FundingFee","STBL_USDT_PERP"
"2026-02-28 04:00:01","USDT","-13.680162248897274","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 05:00:01","USDT","-13.449031273711088","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 06:00:01","USDT","-13.716181899749727241","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 07:00:01","USDT","-8.901633791462894447","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 08:00:01","USDT","0.121868149103625","FundingFee","STBL_USDT_PERP"
"2026-02-28 08:00:02","USDT","-7.607588054106608568","FundingFee","SAHARA_USDT_PERP"
"2026-02-28 12:00:01","USDT","0.1269400306185","FundingFee","STBL_USDT_PERP"
"2026-02-28 16:00:02","USDT","0.12735282691073874","FundingFee","STBL_USDT_PERP"
"2026-02-28 20:00:02","USDT","0.131016438128687055","FundingFee","STBL_USDT_PERP"
"2026-03-01 00:00:01","USDT","0.14978497592988","FundingFee","STBL_USDT_PERP"
"2026-03-01 04:00:02","USDT","0.13299126459639588","FundingFee","STBL_USDT_PERP"
"2026-03-01 08:00:03","USDT","0.1191578700696","FundingFee","STBL_USDT_PERP"
"2026-03-01 12:00:01","USDT","-0.325154963586","FundingFee","GRASS_USDT_PERP"
"2026-03-01 12:00:02","USDT","0.11067507384","FundingFee","STBL_USDT_PERP"
"2026-03-01 16:00:01","USDT","0.100145863272","FundingFee","HIPPO_USDT_PERP"
"2026-03-01 16:00:02","USDT","0.111373214175","FundingFee","STBL_USDT_PERP"
"2026-03-01 20:00:02","USDT","0.11182057915373676","FundingFee","STBL_USDT_PERP"
"2026-03-01 20:00:02","USDT","0.10602782484","FundingFee","HIPPO_USDT_PERP"
"2026-03-02 08:00:02","USDT","-14.92923929679552","FundingFee","KAVA_USDT_PERP"
"2026-03-02 08:00:02","USDT","-34.08287223647436672","FundingFee","KNC_USDT_PERP"
"2026-03-02 12:00:01","USDT","-11.027040816771616224","FundingFee","ZETA_USDT_PERP"
"2026-03-02 12:00:02","USDT","-10.27947244413773968","FundingFee","KAVA_USDT_PERP"
"2026-03-02 20:00:01","USDT","-6.873477345574752","FundingFee","USUAL_USDT_PERP"
"2026-03-03 16:00:02","USDT","-1.957148959924172729","FundingFee","AKT_USDT_PERP"
"2026-03-03 16:00:02","USDT","-12.3252417089601961","FundingFee","PHA_USDT_PERP"
"2026-03-03 20:00:02","USDT","0.077235626526425","FundingFee","METIS_USDT_PERP"
"2026-03-03 20:00:02","USDT","-12.17156710559636112","FundingFee","PHA_USDT_PERP"
"2026-03-04 00:00:02","USDT","-16.97093093491346304","FundingFee","PHA_USDT_PERP"
"2026-03-04 04:00:01","USDT","-12.30719796540312312","FundingFee","PHA_USDT_PERP"
"2026-03-04 08:00:02","USDT","0.101817868222","FundingFee","SQD_USDT_PERP"
"2026-03-04 12:00:01","USDT","0.097329738847676","FundingFee","SQD_USDT_PERP"
"2026-03-04 12:00:02","USDT","0.099597630731631732","FundingFee","AI_USDT_PERP"
"2026-03-04 16:00:02","USDT","0.099807383","FundingFee","AI_USDT_PERP"
"2026-03-04 16:00:02","USDT","0.100945456849","FundingFee","SQD_USDT_PERP"
"2026-03-04 20:00:01","USDT","0.101849356","FundingFee","SQD_USDT_PERP"
"2026-03-04 20:00:01","USDT","0.04036293","FundingFee","AIOT_USDT_PERP"
"2026-03-04 20:00:02","USDT","0.100944433209","FundingFee","AI_USDT_PERP"
"2026-03-05 00:00:02","USDT","0.098302272953","FundingFee","AI_USDT_PERP"
"2026-03-05 00:00:02","USDT","0.03924027585","FundingFee","AIOT_USDT_PERP"
"2026-03-05 00:00:02","USDT","0.101266249","FundingFee","SQD_USDT_PERP"
"2026-03-05 04:00:01","USDT","0.099901857515","FundingFee","AI_USDT_PERP"
"2026-03-05 04:00:01","USDT","0.983757149854479","FundingFee","AIOT_USDT_PERP"
"2026-03-05 04:00:02","USDT","0.099239258","FundingFee","SQD_USDT_PERP"
"2026-03-05 08:00:01","USDT","0.098906054","FundingFee","SQD_USDT_PERP"
"2026-03-05 08:00:02","USDT","0.100643310059","FundingFee","AI_USDT_PERP"
"2026-03-05 08:00:02","USDT","0.186652756032975","FundingFee","AIOT_USDT_PERP"
"2026-03-05 12:00:01","USDT","1.03468064091689246","FundingFee","AIOT_USDT_PERP"
"2026-03-05 12:00:01","USDT","-11.131453929285","FundingFee","ORCA_USDT_PERP"
"2026-03-05 16:00:01","USDT","1.047824246901551763","FundingFee","AKE_USDT_PERP"
"2026-03-05 16:00:02","USDT","-15.99805423208295304","FundingFee","ORCA_USDT_PERP"
"2026-03-05 20:00:01","USDT","-3.82521891185353152","FundingFee","ORCA_USDT_PERP"
"2026-03-06 08:00:01","USDT","0.10545114886173053","FundingFee","APR_USDT_PERP"
"2026-03-06 12:00:01","USDT","0.039637264783662","FundingFee","ZBT_USDT_PERP"
"2026-03-06 16:00:02","USDT","0.0750675992976","FundingFee","RESOLV_USDT_PERP"
"2026-03-06 16:00:02","USDT","0.1148041797523047","FundingFee","ZBT_USDT_PERP"
"2026-03-06 20:00:01","USDT","0.103931987077610912","FundingFee","APR_USDT_PERP"
"2026-03-06 20:00:01","USDT","0.024498344325","FundingFee","RESOLV_USDT_PERP"
"2026-03-06 20:00:02","USDT","0.125345325","FundingFee","ZBT_USDT_PERP"
"2026-03-07 00:00:02","USDT","0.098226454808","FundingFee","APR_USDT_PERP"
"2026-03-07 00:00:02","USDT","0.126555695875","FundingFee","ZBT_USDT_PERP"
"2026-03-07 04:00:01","USDT","0.1003130759752","FundingFee","APR_USDT_PERP"
"2026-03-07 04:00:01","USDT","0.1241260125","FundingFee","ZBT_USDT_PERP"
"2026-03-07 08:00:03","USDT","0.189872425797957","FundingFee","PTB_USDT_PERP"
"2026-03-07 20:00:01","USDT","-79.01196820341386208","FundingFee","BANANA_USDT_PERP"
"2026-03-08 12:00:01","USDT","0.228706465287312","FundingFee","ON_USDT_PERP"
"2026-03-08 16:00:02","USDT","0.117220613848416","FundingFee","EVAA_USDT_PERP"
"2026-03-08 16:00:02","USDT","0.224806419785104955","FundingFee","ON_USDT_PERP"
"2026-03-08 20:00:01","USDT","-14.97951145925624","FundingFee","SKL_USDT_PERP"
"2026-03-08 20:00:02","USDT","0.29292862473368","FundingFee","ON_USDT_PERP"
"2026-03-09 00:00:01","USDT","0.29066758494228","FundingFee","ON_USDT_PERP"
"2026-03-09 00:00:02","USDT","-18.11980199328","FundingFee","UMA_USDT_PERP"
"2026-03-09 04:00:01","USDT","0.37586747461536","FundingFee","ON_USDT_PERP"
"2026-03-09 08:00:01","USDT","0.443266462244611656","FundingFee","ON_USDT_PERP"
